area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 321",1047,34,73,23,0,40,10,17,0,82,20,96,262,110,184,17,79
"Block Group 2, Census Tract 321",592,0,41,0,0,16,14,96,0,56,38,45,142,40,40,19,45
"Block Group 3, Census Tract 321",854,135,52,60,55,20,0,0,13,0,79,116,34,98,29,163,0
"Block Group 4, Census Tract 321",1068,40,152,3,21,20,309,0,23,28,76,73,89,49,59,0,126
"Block Group 5, Census Tract 321",646,23,79,0,21,0,44,0,0,0,0,88,14,52,23,174,128
"Block Group 1, Census Tract 401",618,0,0,13,8,12,84,0,36,0,21,68,48,28,53,70,177
"Block Group 2, Census Tract 401",831,13,26,31,0,7,77,23,28,55,126,68,87,57,65,61,107
"Block Group 3, Census Tract 401",426,35,0,0,10,0,0,0,32,0,9,7,57,54,33,19,170
"Block Group 1, Census Tract 402.01",702,0,0,42,21,43,14,0,0,42,81,73,12,163,28,17,166
"Block Group 2, Census Tract 402.01",695,0,0,38,0,0,27,0,22,103,82,142,42,69,37,54,79
"Block Group 3, Census Tract 402.01",653,55,0,0,7,17,0,0,28,0,47,51,149,71,82,75,71
"Block Group 4, Census Tract 402.01",962,13,40,23,40,39,0,37,0,38,20,26,120,123,176,198,69
"Block Group 1, Census Tract 402.02",284,0,63,0,28,0,58,0,12,12,0,13,0,25,11,42,20
"Block Group 2, Census Tract 402.02",1042,78,0,10,17,80,83,12,22,26,178,30,108,172,14,96,116
"Block Group 3, Census Tract 402.02",535,36,0,33,56,90,38,32,0,0,39,0,14,71,70,39,17
"Block Group 4, Census Tract 402.02",1047,48,26,13,86,69,88,0,32,6,139,137,118,203,24,31,27
"Block Group 1, Census Tract 403",320,11,0,0,0,0,47,0,7,9,0,0,8,15,72,41,110
"Block Group 2, Census Tract 403",543,84,42,9,30,0,31,0,0,0,9,147,95,63,18,0,15
"Block Group 3, Census Tract 403",286,0,0,0,0,0,0,25,8,0,8,26,49,48,60,31,31
"Block Group 1, Census Tract 404.01",387,18,9,0,8,10,0,9,0,15,69,20,52,39,80,23,35
"Block Group 2, Census Tract 404.01",295,8,9,0,12,0,0,15,0,11,0,16,42,33,14,14,121
"Block Group 3, Census Tract 404.01",307,14,0,0,0,9,0,0,0,40,24,20,66,52,38,37,7
"Block Group 4, Census Tract 404.01",480,0,8,0,8,7,8,0,45,19,19,23,76,44,87,47,89
"Block Group 1, Census Tract 404.02",246,0,0,16,0,19,0,13,0,13,18,37,43,10,27,0,50
"Block Group 2, Census Tract 404.02",383,15,0,19,0,0,20,6,0,33,8,0,55,120,79,0,28
"Block Group 3, Census Tract 404.02",598,0,0,0,0,0,18,14,0,0,31,105,133,72,61,90,74
"Block Group 4, Census Tract 404.02",325,92,15,0,0,0,0,16,44,0,38,33,11,11,14,11,40
"Block Group 5, Census Tract 404.02",981,15,0,0,0,22,29,30,0,11,109,111,134,120,95,127,178
"Block Group 1, Census Tract 406",280,30,6,0,0,0,0,0,7,7,37,0,58,0,1,48,86
"Block Group 2, Census Tract 406",530,11,33,0,33,0,0,29,0,33,15,93,45,44,20,59,115
"Block Group 3, Census Tract 406",473,13,8,7,0,0,24,0,0,0,38,33,119,41,0,22,168
"Block Group 1, Census Tract 407",412,45,9,0,0,18,8,8,0,7,18,56,96,35,0,81,31
"Block Group 2, Census Tract 407",421,18,8,0,10,46,34,8,0,8,16,25,8,11,78,27,124
"Block Group 3, Census Tract 407",373,26,0,0,0,0,0,0,5,7,10,9,63,46,49,27,131
"Block Group 4, Census Tract 407",470,10,23,0,39,0,24,0,0,27,0,66,68,60,48,57,48
"Block Group 1, Census Tract 408",341,5,0,0,5,0,11,0,23,9,0,21,50,45,36,49,87
"Block Group 2, Census Tract 408",427,0,10,10,0,0,6,10,41,16,9,20,111,58,25,7,104
"Block Group 1, Census Tract 409",693,10,9,9,11,61,59,33,78,9,67,28,83,68,16,62,90
"Block Group 2, Census Tract 409",474,0,10,0,0,64,0,35,0,0,66,0,65,77,59,51,47
"Block Group 1, Census Tract 501",397,29,0,0,10,0,8,0,11,22,6,29,49,71,65,37,60
"Block Group 2, Census Tract 501",763,10,0,0,21,0,0,7,34,10,66,35,68,97,43,95,277
"Block Group 1, Census Tract 502",374,52,0,0,0,0,16,0,31,0,0,0,47,0,11,0,217
"Block Group 2, Census Tract 502",1029,16,18,0,15,0,0,20,15,0,17,19,152,171,41,170,375
"Block Group 3, Census Tract 502",658,17,22,58,0,17,41,13,0,0,22,15,129,58,78,13,175
"Block Group 1, Census Tract 503",424,44,9,0,29,0,0,8,79,0,7,0,42,28,22,68,88
"Block Group 2, Census Tract 503",288,0,0,0,0,0,0,10,0,0,10,33,22,17,26,15,155
"Block Group 3, Census Tract 503",374,0,0,13,0,0,0,0,0,0,0,38,44,29,0,26,224
"Block Group 1, Census Tract 505",471,11,0,0,29,0,0,33,0,0,22,0,29,154,0,28,165
"Block Group 2, Census Tract 505",539,29,0,0,0,0,0,15,26,0,36,15,63,31,121,18,185
"Block Group 3, Census Tract 505",277,0,0,0,0,0,0,0,0,0,0,0,27,59,36,60,95
"Block Group 4, Census Tract 505",439,0,0,0,92,13,0,0,0,0,20,0,15,13,51,49,186
"Block Group 5, Census Tract 505",270,0,0,0,0,0,16,0,0,0,0,13,0,45,62,36,98
"Block Group 1, Census Tract 506",674,10,0,9,24,14,7,27,0,0,0,29,205,48,46,96,159
"Block Group 2, Census Tract 506",477,0,12,0,9,12,17,0,13,5,0,79,50,51,26,64,139
"Block Group 1, Census Tract 507",671,40,6,14,0,4,5,4,7,21,13,23,54,134,82,69,195
"Block Group 1, Census Tract 508",513,0,0,2,0,0,1,4,30,54,34,1,59,13,38,54,223
"Block Group 1, Census Tract 509",608,14,0,40,0,5,17,0,0,10,17,45,60,70,84,68,178
"Block Group 1, Census Tract 510",718,19,0,6,16,7,0,9,12,3,6,30,74,75,37,93,331
"Block Group 1, Census Tract 511",727,38,0,21,27,0,0,14,0,6,15,134,20,68,8,62,314
"Block Group 1, Census Tract 512",337,30,0,0,12,0,0,14,5,0,41,4,29,13,17,75,97
"Block Group 2, Census Tract 512",300,13,0,0,0,0,0,0,0,0,0,0,8,20,42,60,157
"Block Group 1, Census Tract 513",441,25,0,11,27,0,0,0,9,0,0,65,28,30,10,30,206
"Block Group 2, Census Tract 513",631,0,0,6,0,0,8,0,11,0,4,21,0,18,92,73,398
"Block Group 1, Census Tract 514",569,11,11,0,0,0,13,6,9,4,42,5,51,23,58,95,241
"Block Group 2, Census Tract 514",460,31,5,31,0,5,13,24,0,0,6,18,54,7,77,67,122
"Block Group 1, Census Tract 601",412,0,0,8,8,0,13,0,7,9,0,8,81,47,32,17,182
"Block Group 2, Census Tract 601",542,0,0,25,0,8,0,8,30,66,56,12,24,76,0,61,176
"Block Group 3, Census Tract 601",319,9,0,19,28,0,0,0,15,0,7,8,32,0,37,31,133
"Block Group 1, Census Tract 602",682,0,36,10,40,0,35,32,51,57,38,33,53,76,41,31,149
"Block Group 2, Census Tract 602",458,37,0,0,0,7,11,18,12,26,25,25,51,22,39,50,135
"Block Group 1, Census Tract 603",538,40,0,10,0,0,0,0,9,3,0,48,53,39,30,68,238
"Block Group 2, Census Tract 603",643,31,0,0,0,0,35,26,43,0,21,38,68,79,27,134,141
"Block Group 1, Census Tract 604",749,0,10,0,10,8,0,34,21,11,30,123,101,18,38,44,301
"Block Group 2, Census Tract 604",386,0,0,32,0,0,0,0,0,37,0,0,12,19,70,52,164
"Block Group 3, Census Tract 604",478,8,0,0,0,0,0,0,8,0,0,0,38,28,78,125,193
"Block Group 1, Census Tract 605",695,97,174,31,13,18,0,11,0,0,43,50,14,10,39,34,161
"Block Group 1, Census Tract 608",952,35,0,0,58,0,0,14,58,17,33,27,280,126,48,101,155
"Block Group 2, Census Tract 608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 608",1017,0,0,0,0,39,50,12,0,37,71,170,336,50,48,137,67
"Block Group 4, Census Tract 608",1629,109,48,71,24,46,22,70,17,0,143,279,215,119,185,96,185
"Block Group 1, Census Tract 609",839,0,25,0,0,0,28,0,0,0,128,38,285,24,121,135,55
"Block Group 2, Census Tract 609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 609",919,65,0,0,0,36,0,118,0,0,156,94,141,54,24,129,102
"Block Group 4, Census Tract 609",179,0,0,0,0,0,50,38,0,0,73,0,0,0,0,0,18
"Block Group 5, Census Tract 609",1291,61,24,35,18,0,39,0,196,17,225,92,209,59,108,135,73
"Block Group 6, Census Tract 609",1567,136,131,48,0,51,33,0,6,17,77,117,278,256,162,111,144
"Block Group 1, Census Tract 610",1109,31,46,10,52,10,20,32,22,26,45,74,97,77,124,193,250
"Block Group 1, Census Tract 611",724,7,0,15,0,4,0,14,14,6,46,151,84,81,58,78,166
"Block Group 1, Census Tract 612",869,12,11,0,17,50,8,12,41,5,31,74,97,146,75,70,220
"Block Group 1, Census Tract 615",894,19,19,7,15,0,0,10,34,6,33,117,87,57,128,127,235
"Block Group 1, Census Tract 618",735,64,12,24,39,5,80,15,28,52,29,72,130,72,36,48,29
"Block Group 1, Census Tract 619.01",509,0,22,0,0,0,53,41,0,114,33,83,62,0,28,45,28
"Block Group 2, Census Tract 619.01",668,47,90,0,0,0,0,0,0,0,73,130,139,33,113,18,25
"Block Group 3, Census Tract 619.01",664,38,0,19,18,18,114,0,0,123,52,0,94,30,75,18,65
"Block Group 4, Census Tract 619.01",752,106,169,52,33,0,0,38,0,19,17,0,180,20,32,16,70
"Block Group 1, Census Tract 619.02",823,0,28,21,0,19,22,10,45,0,88,83,52,114,85,115,141
"Block Group 2, Census Tract 619.02",1101,61,37,35,53,20,0,0,0,32,56,34,355,114,56,32,216
"Block Group 3, Census Tract 619.02",992,64,20,0,18,0,31,65,13,44,128,50,105,197,76,113,68
"Block Group 4, Census Tract 619.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 1, Census Tract 620",1159,59,0,0,20,77,17,10,25,50,37,84,152,57,133,157,281
"Block Group 2, Census Tract 620",485,31,11,0,10,0,36,0,0,67,0,3,85,34,71,82,55
