area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 304",1071,28,0,0,0,0,0,20,20,0,0,9,25,8,8,38,66,13,27,111,65,313,280,32,8
"Block Group 2, Census Tract 304",1057,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,156,0,42,126,102,344,190,44,30
"Block Group 1, Census Tract 305",1375,32,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,113,122,549,433,14,79
"Block Group 2, Census Tract 305",1361,34,0,0,0,5,0,0,0,0,5,5,20,9,13,40,110,23,45,55,15,578,324,37,43
"Block Group 3, Census Tract 305",1406,0,0,0,0,0,0,0,0,61,0,0,0,49,0,15,107,131,100,125,209,326,257,26,0
"Block Group 4, Census Tract 305",1358,0,0,0,41,0,0,0,0,0,0,0,0,23,0,38,101,0,134,56,50,622,185,39,69
"Block Group 1, Census Tract 306.01",1099,0,0,0,0,0,0,0,0,86,0,84,0,12,0,40,149,27,22,139,44,358,105,33,0
"Block Group 2, Census Tract 306.01",732,13,0,0,0,0,88,0,0,0,0,0,35,42,30,69,6,3,37,35,40,180,72,63,19
"Block Group 3, Census Tract 306.01",1153,13,0,0,0,0,0,7,0,0,0,19,18,37,8,0,188,14,167,180,61,114,175,114,38
"Block Group 1, Census Tract 306.03",748,9,0,0,0,0,0,0,0,0,0,21,0,28,20,45,170,20,33,53,15,219,76,28,11
"Block Group 2, Census Tract 306.03",1125,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,194,20,32,71,118,273,226,83,78
"Block Group 1, Census Tract 306.04",975,11,0,0,0,0,0,0,0,0,0,0,0,1,8,34,39,27,42,135,0,399,213,43,23
"Block Group 2, Census Tract 306.04",1236,0,0,0,0,0,0,0,0,15,0,10,0,18,0,0,140,25,15,176,17,381,362,24,53
"Block Group 3, Census Tract 306.04",583,24,0,0,0,0,0,0,0,0,0,12,0,13,0,62,43,0,53,129,18,118,89,3,19
"Block Group 1, Census Tract 307.01",1243,24,0,0,0,0,0,0,0,5,4,14,7,0,7,26,146,48,63,190,127,381,148,33,20
"Block Group 1, Census Tract 307.02",840,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,69,11,14,40,64,270,242,34,65
"Block Group 2, Census Tract 307.02",1267,36,0,0,0,0,0,0,0,0,0,25,0,0,0,0,220,0,5,92,94,487,243,44,21
"Block Group 1, Census Tract 307.03",767,7,0,0,0,0,0,0,0,22,0,18,19,25,46,0,104,8,12,94,61,185,160,0,6
"Block Group 2, Census Tract 307.03",612,45,0,0,0,0,0,26,0,0,0,0,20,0,0,45,62,11,16,36,9,176,124,0,42
"Block Group 3, Census Tract 307.03",1232,12,0,0,0,0,0,0,0,0,0,0,0,0,0,20,138,0,34,188,68,440,247,50,35
"Block Group 1, Census Tract 307.06",1643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,51,16,233,19,592,276,85,80
"Block Group 2, Census Tract 307.06",879,0,0,0,0,0,0,0,18,0,0,129,0,0,41,17,42,19,67,145,0,228,138,22,13
"Block Group 1, Census Tract 308",873,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,207,18,0,115,1,132,301,60,4
"Block Group 2, Census Tract 308",1009,0,0,0,0,0,0,0,6,41,0,8,7,51,32,0,73,19,6,96,6,194,336,100,34
"Block Group 3, Census Tract 308",904,0,0,0,0,0,0,0,0,0,0,0,0,0,25,37,35,0,12,65,50,229,261,121,69
"Block Group 4, Census Tract 308",871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,47,0,541,154,65,31
"Block Group 1, Census Tract 309",345,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,18,0,0,27,17,115,141,0,10
"Block Group 2, Census Tract 309",977,0,0,0,0,0,0,0,0,0,0,0,27,43,10,9,72,0,10,136,81,362,148,47,32
"Block Group 3, Census Tract 309",732,0,0,0,0,0,0,0,10,15,14,11,0,13,0,40,67,0,19,53,38,210,200,17,25
"Block Group 4, Census Tract 309",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0,18,0,233,90,45,41
"Block Group 1, Census Tract 310",712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,14,6,100,24,241,121,24,9
"Block Group 2, Census Tract 310",955,0,0,0,1,0,0,0,0,51,0,9,1,1,2,5,152,17,16,46,0,407,134,31,82
"Block Group 3, Census Tract 310",1390,26,0,0,0,0,21,0,0,0,0,0,0,23,0,0,46,12,9,88,66,547,480,43,29
