"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310401003","Block Group 3; Census Tract 401; Cook County; Illinois","426","93","277","71","149","77",
"1500000US170310402011","Block Group 1; Census Tract 402.01; Cook County; Illinois","702","202","369","174","333","144",
"1500000US170310402012","Block Group 2; Census Tract 402.01; Cook County; Illinois","695","234","223","117","472","211",
"1500000US170310402013","Block Group 3; Census Tract 402.01; Cook County; Illinois","653","160","216","87","437","148",
"1500000US170310402014","Block Group 4; Census Tract 402.01; Cook County; Illinois","962","272","504","221","458","165",
"1500000US170310402021","Block Group 1; Census Tract 402.02; Cook County; Illinois","284","112","51","43","233","116",
"1500000US170310402022","Block Group 2; Census Tract 402.02; Cook County; Illinois","1042","226","384","146","658","193",
"1500000US170310402023","Block Group 3; Census Tract 402.02; Cook County; Illinois","535","158","164","82","371","147",
"1500000US170310402024","Block Group 4; Census Tract 402.02; Cook County; Illinois","1047","201","393","142","654","167",
"1500000US170310403001","Block Group 1; Census Tract 403; Cook County; Illinois","320","97","283","94","37","30",
"1500000US170310403002","Block Group 2; Census Tract 403; Cook County; Illinois","543","120","253","90","290","108",
"1500000US170310403003","Block Group 3; Census Tract 403; Cook County; Illinois","286","97","149","64","137","74",
"1500000US170310404011","Block Group 1; Census Tract 404.01; Cook County; Illinois","387","112","189","76","198","100",
"1500000US170310404012","Block Group 2; Census Tract 404.01; Cook County; Illinois","295","75","193","71","102","56",
"1500000US170310404013","Block Group 3; Census Tract 404.01; Cook County; Illinois","307","124","168","80","139","91",
"1500000US170310404014","Block Group 4; Census Tract 404.01; Cook County; Illinois","480","156","318","135","162","60",
"1500000US170310404021","Block Group 1; Census Tract 404.02; Cook County; Illinois","246","96","114","81","132","68",
"1500000US170310404022","Block Group 2; Census Tract 404.02; Cook County; Illinois","383","152","75","76","308","135",
"1500000US170310404023","Block Group 3; Census Tract 404.02; Cook County; Illinois","598","150","207","87","391","140",
"1500000US170310404024","Block Group 4; Census Tract 404.02; Cook County; Illinois","325","118","71","40","254","110",
"1500000US170310404025","Block Group 5; Census Tract 404.02; Cook County; Illinois","981","181","268","118","713","178",
"1500000US170310406001","Block Group 1; Census Tract 406; Cook County; Illinois","280","105","107","51","173","98",
"1500000US170310406002","Block Group 2; Census Tract 406; Cook County; Illinois","530","86","91","46","439","93",
"1500000US170310406003","Block Group 3; Census Tract 406; Cook County; Illinois","473","142","269","132","204","76",
"1500000US170310407001","Block Group 1; Census Tract 407; Cook County; Illinois","412","111","201","85","211","102",
"1500000US170310407002","Block Group 2; Census Tract 407; Cook County; Illinois","421","115","232","68","189","97",
"1500000US170310407003","Block Group 3; Census Tract 407; Cook County; Illinois","373","90","153","64","220","81",
"1500000US170310407004","Block Group 4; Census Tract 407; Cook County; Illinois","470","103","177","75","293","94",
"1500000US170310408001","Block Group 1; Census Tract 408; Cook County; Illinois","341","68","136","50","205","48",
"1500000US170310408002","Block Group 2; Census Tract 408; Cook County; Illinois","427","117","190","49","237","114",
"1500000US170310409001","Block Group 1; Census Tract 409; Cook County; Illinois","693","154","208","68","485","152",
"1500000US170310409002","Block Group 2; Census Tract 409; Cook County; Illinois","474","106","195","74","279","111",
