"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310307033","Block Group 3, Census Tract 307.03, Cook County, Illinois","878","110","302","67","576","107",
"1500000US170310307061","Block Group 1, Census Tract 307.06, Cook County, Illinois","1360","168","488","124","872","160",
"1500000US170310307062","Block Group 2, Census Tract 307.06, Cook County, Illinois","607","153","200","106","407","133",
"1500000US170310308001","Block Group 1, Census Tract 308, Cook County, Illinois","440","111","118","64","322","109",
"1500000US170310308002","Block Group 2, Census Tract 308, Cook County, Illinois","526","134","311","126","215","117",
"1500000US170310308003","Block Group 3, Census Tract 308, Cook County, Illinois","539","99","252","81","287","90",
"1500000US170310308004","Block Group 4, Census Tract 308, Cook County, Illinois","445","114","194","81","251","104",
"1500000US170310309001","Block Group 1, Census Tract 309, Cook County, Illinois","201","61","68","42","133","58",
"1500000US170310309002","Block Group 2, Census Tract 309, Cook County, Illinois","533","105","230","82","303","106",
"1500000US170310309003","Block Group 3, Census Tract 309, Cook County, Illinois","416","85","243","76","173","62",
"1500000US170310309004","Block Group 4, Census Tract 309, Cook County, Illinois","281","68","192","52","89","43",
"1500000US170310310001","Block Group 1, Census Tract 310, Cook County, Illinois","404","76","183","56","221","75",
"1500000US170310310002","Block Group 2, Census Tract 310, Cook County, Illinois","776","100","332","79","444","110",
"1500000US170310310003","Block Group 3, Census Tract 310, Cook County, Illinois","818","110","263","81","555","106",
"1500000US170310311001","Block Group 1, Census Tract 311, Cook County, Illinois","835","149","291","110","544","152",
"1500000US170310311002","Block Group 2, Census Tract 311, Cook County, Illinois","582","129","94","71","488","110",
"1500000US170310311003","Block Group 3, Census Tract 311, Cook County, Illinois","912","154","267","95","645","138",
"1500000US170310312001","Block Group 1, Census Tract 312, Cook County, Illinois","512","141","241","102","271","121",
"1500000US170310312002","Block Group 2, Census Tract 312, Cook County, Illinois","668","185","100","81","568","171",
"1500000US170310312003","Block Group 3, Census Tract 312, Cook County, Illinois","882","239","32","34","850","241",
"1500000US170310312004","Block Group 4, Census Tract 312, Cook County, Illinois","784","180","334","169","450","119",
"1500000US170310313001","Block Group 1, Census Tract 313, Cook County, Illinois","484","130","113","63","371","132",
"1500000US170310313002","Block Group 2, Census Tract 313, Cook County, Illinois","877","138","335","116","542","129",
"1500000US170310313003","Block Group 3, Census Tract 313, Cook County, Illinois","372","136","97","86","275","124",
"1500000US170310313004","Block Group 4, Census Tract 313, Cook County, Illinois","1396","195","329","93","1067","219",
"1500000US170310313005","Block Group 5, Census Tract 313, Cook County, Illinois","1096","165","481","117","615","150",
"1500000US170310314001","Block Group 1, Census Tract 314, Cook County, Illinois","918","148","543","122","375","133",
"1500000US170310314002","Block Group 2, Census Tract 314, Cook County, Illinois","417","108","300","106","117","60",
"1500000US170310314003","Block Group 3, Census Tract 314, Cook County, Illinois","639","125","295","101","344","100",
"1500000US170310314004","Block Group 4, Census Tract 314, Cook County, Illinois","0","11","0","11","0","11",
