"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N",
"1500000US170311911005","Block Group 5, Census Tract 1911, Cook County, Illinois","2182","1968","214","197","127","47","5","17","0","1","17","16","4","4","7","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311911006","Block Group 6, Census Tract 1911, Cook County, Illinois","992","917","75","71","40","15","7","3","0","6","4","4","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311912001","Block Group 1, Census Tract 1912, Cook County, Illinois","2677","2554","123","111","76","16","2","8","0","9","12","10","0","3","3","1","1","0","0","0","0","0","0","0","2","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311912002","Block Group 2, Census Tract 1912, Cook County, Illinois","1133","1013","120","108","62","30","3","0","0","13","12","8","0","1","3","0","1","0","1","0","1","0","0","0","1","0","0","4","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311913011","Block Group 1, Census Tract 1913.01, Cook County, Illinois","2167","1854","313","301","93","108","0","77","0","23","12","12","2","1","1","0","1","1","0","0","2","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311913012","Block Group 2, Census Tract 1913.01, Cook County, Illinois","1488","1255","233","223","84","128","1","5","0","5","10","6","1","2","0","0","0","2","0","0","0","1","0","0","0","0","0","4","0","0","0","2","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311913013","Block Group 3, Census Tract 1913.01, Cook County, Illinois","1559","1337","222","211","77","88","0","33","0","13","11","10","4","0","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311913021","Block Group 1, Census Tract 1913.02, Cook County, Illinois","2507","2214","293","272","120","120","3","17","2","10","21","19","11","1","3","0","0","1","2","0","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311913022","Block Group 2, Census Tract 1913.02, Cook County, Illinois","2433","2176","257","244","112","86","0","40","1","5","13","11","5","0","1","0","0","2","0","0","1","0","0","0","2","0","0","2","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312001001","Block Group 1, Census Tract 2001, Cook County, Illinois","837","647","190","176","141","7","0","24","0","4","14","13","3","3","0","0","5","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312001002","Block Group 2, Census Tract 2001, Cook County, Illinois","1433","1179","254","237","192","16","0","27","0","2","17","16","4","2","3","2","4","0","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312001003","Block Group 3, Census Tract 2001, Cook County, Illinois","1848","1324","524","494","355","79","1","53","0","6","30","28","5","0","8","0","9","0","0","1","0","0","0","0","5","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312002001","Block Group 1, Census Tract 2002, Cook County, Illinois","1066","884","182","174","121","29","6","13","0","5","8","8","0","0","2","0","4","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312002002","Block Group 2, Census Tract 2002, Cook County, Illinois","1645","1392","253","234","145","56","2","29","0","2","19","19","3","3","8","1","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170312002003","Block Group 3, Census Tract 2002, Cook County, Illinois","1147","984","163","154","92","53","0","8","1","0","9","9","3","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
