"GEO_ID","NAME","B19001_001E","B19001_001M","B19001_002E","B19001_002M","B19001_003E","B19001_003M","B19001_004E","B19001_004M","B19001_005E","B19001_005M","B19001_006E","B19001_006M","B19001_007E","B19001_007M","B19001_008E","B19001_008M","B19001_009E","B19001_009M","B19001_010E","B19001_010M","B19001_011E","B19001_011M","B19001_012E","B19001_012M","B19001_013E","B19001_013M","B19001_014E","B19001_014M","B19001_015E","B19001_015M","B19001_016E","B19001_016M","B19001_017E","B19001_017M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more",
"1500000US170316813003","Block Group 3, Census Tract 6813, Cook County, Illinois","229","59","52","36","7","11","13","14","7","11","36","37","15","23","13","19","40","34","0","11","17","25","14","16","15","15","0","11","0","11","0","11","0","11",
"1500000US170316814001","Block Group 1, Census Tract 6814, Cook County, Illinois","138","82","7","15","0","11","14","23","0","11","0","11","13","22","14","22","0","11","36","51","29","46","17","31","8","13","0","11","0","11","0","11","0","11",
"1500000US170316814002","Block Group 2, Census Tract 6814, Cook County, Illinois","136","56","0","11","20","31","7","17","0","11","14","23","0","11","14","21","25","25","13","23","26","28","0","11","12","23","5","13","0","11","0","11","0","11",
"1500000US170316814003","Block Group 3, Census Tract 6814, Cook County, Illinois","362","142","64","58","0","11","0","11","50","56","44","68","37","30","0","11","0","11","25","29","114","91","0","11","28","34","0","11","0","11","0","11","0","11",
"1500000US170316814004","Block Group 4, Census Tract 6814, Cook County, Illinois","197","97","14","23","8","16","28","28","10","17","0","11","0","11","38","62","0","11","30","45","38","53","0","11","31","35","0","11","0","11","0","11","0","11",
"1500000US170316903001","Block Group 1, Census Tract 6903, Cook County, Illinois","253","94","62","70","47","44","71","58","11","19","0","11","0","11","5","8","8","13","0","11","16","26","0","11","18","29","0","11","8","10","0","11","7","10",
"1500000US170316903002","Block Group 2, Census Tract 6903, Cook County, Illinois","525","92","110","50","42","31","79","65","13","21","0","11","65","69","46","37","48","35","26","29","4","6","11","20","48","46","13","20","5","7","0","11","15","26",
"1500000US170316904001","Block Group 1, Census Tract 6904, Cook County, Illinois","327","101","111","71","33","41","25","39","0","11","0","11","0","11","49","51","0","11","24","39","0","11","39","38","22","35","0","11","17","27","0","11","7","12",
"1500000US170316904002","Block Group 2, Census Tract 6904, Cook County, Illinois","372","115","40","42","11","17","51","50","0","11","41","50","0","11","12","17","34","38","41","43","62","70","26","33","20","33","11","19","0","11","11","17","12","18",
"1500000US170316904003","Block Group 3, Census Tract 6904, Cook County, Illinois","345","116","29","33","14","24","45","51","106","82","35","42","39","53","0","11","20","31","10","15","25","43","0","11","22","35","0","11","0","11","0","11","0","11",
