"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","003","White alone or in combination with one or more other races","1492","251",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","001","Total population","1622","205",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","003","White alone or in combination with one or more other races","1513","213",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","001","Total population","1557","227",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","003","White alone or in combination with one or more other races","1333","237",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","001","Total population","2474","359",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","003","White alone or in combination with one or more other races","2092","383",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","001","Total population","3066","355",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","003","White alone or in combination with one or more other races","2783","336",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","001","Total population","3613","496",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","003","White alone or in combination with one or more other races","3367","485",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","001","Total population","3956","421",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","003","White alone or in combination with one or more other races","3121","368",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","001","Total population","3315","454",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","003","White alone or in combination with one or more other races","2754","448",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","001","Total population","2343","263",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","003","White alone or in combination with one or more other races","2200","274",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","001","Total population","6387","747",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","003","White alone or in combination with one or more other races","5675","791",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","001","Total population","3008","436",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2428","411",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","001","Total population","4010","517",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","003","White alone or in combination with one or more other races","3574","490",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","001","Total population","1180","112",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","003","White alone or in combination with one or more other races","986","110",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","001","Total population","2737","413",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","003","White alone or in combination with one or more other races","2383","374",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","001","Total population","4054","658",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","003","White alone or in combination with one or more other races","3599","681",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","001","Total population","3359","553",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","003","White alone or in combination with one or more other races","2924","542",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","001","Total population","1408","146",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","003","White alone or in combination with one or more other races","1190","120",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","001","Total population","4092","663",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","003","White alone or in combination with one or more other races","3451","575",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","001","Total population","3558","658",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","003","White alone or in combination with one or more other races","3305","656",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","001","Total population","3420","439",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","003","White alone or in combination with one or more other races","2993","452",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","001","Total population","3264","380",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","003","White alone or in combination with one or more other races","2914","351",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","001","Total population","3235","744",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","003","White alone or in combination with one or more other races","2935","738",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","001","Total population","3834","569",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","003","White alone or in combination with one or more other races","2848","408",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","001","Total population","4918","877",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","003","White alone or in combination with one or more other races","4208","822",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","001","Total population","3425","555",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","003","White alone or in combination with one or more other races","2924","524",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","001","Total population","2217","360",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","003","White alone or in combination with one or more other races","1832","341",
