geoid,Geographic Area Name,Total Population,White Population,Black Population,Hispanic Population,racial_population_list
1500000US170312516001,"Block Group 1, Census Tract 2516",1374,26,1308,40,"[1374, 26, 1308, 40]"
1500000US170312516002,"Block Group 2, Census Tract 2516",1104,7,1053,44,"[1104, 7, 1053, 44]"
1500000US170312516003,"Block Group 3, Census Tract 2516",1161,0,1110,51,"[1161, 0, 1110, 51]"
1500000US170312517001,"Block Group 1, Census Tract 2517",1495,20,1330,145,"[1495, 20, 1330, 145]"
1500000US170312518001,"Block Group 1, Census Tract 2518",1186,8,1158,20,"[1186, 8, 1158, 20]"
1500000US170312518002,"Block Group 2, Census Tract 2518",1003,2,985,16,"[1003, 2, 985, 16]"
1500000US170312518003,"Block Group 3, Census Tract 2518",979,0,950,29,"[979, 0, 950, 29]"
1500000US170312518004,"Block Group 4, Census Tract 2518",704,5,693,6,"[704, 5, 693, 6]"
1500000US170312518005,"Block Group 5, Census Tract 2518",1230,7,1203,20,"[1230, 7, 1203, 20]"
1500000US170312519001,"Block Group 1, Census Tract 2519",821,16,787,18,"[821, 16, 787, 18]"
1500000US170312519002,"Block Group 2, Census Tract 2519",1529,9,1482,38,"[1529, 9, 1482, 38]"
1500000US170312519003,"Block Group 3, Census Tract 2519",1242,45,1176,21,"[1242, 45, 1176, 21]"
1500000US170312519004,"Block Group 4, Census Tract 2519",2126,31,2035,60,"[2126, 31, 2035, 60]"
1500000US170312520001,"Block Group 1, Census Tract 2520",682,9,668,5,"[682, 9, 668, 5]"
1500000US170312520002,"Block Group 2, Census Tract 2520",2113,15,2064,34,"[2113, 15, 2064, 34]"
1500000US170312520003,"Block Group 3, Census Tract 2520",1672,28,1606,38,"[1672, 28, 1606, 38]"
1500000US170312520004,"Block Group 4, Census Tract 2520",1230,52,1152,26,"[1230, 52, 1152, 26]"
1500000US170312521011,"Block Group 1, Census Tract 2521.01",1362,36,1306,20,"[1362, 36, 1306, 20]"
1500000US170312521021,"Block Group 1, Census Tract 2521.02",1778,4,1773,1,"[1778, 4, 1773, 1]"
1500000US170312521022,"Block Group 2, Census Tract 2521.02",1457,20,1418,19,"[1457, 20, 1418, 19]"
1500000US170312521023,"Block Group 3, Census Tract 2521.02",1924,19,1893,12,"[1924, 19, 1893, 12]"
1500000US170312521024,"Block Group 4, Census Tract 2521.02",1250,6,1234,10,"[1250, 6, 1234, 10]"
1500000US170312522011,"Block Group 1, Census Tract 2522.01",801,0,788,13,"[801, 0, 788, 13]"
1500000US170312522012,"Block Group 2, Census Tract 2522.01",759,20,728,11,"[759, 20, 728, 11]"
1500000US170312522013,"Block Group 3, Census Tract 2522.01",1385,36,1336,13,"[1385, 36, 1336, 13]"
1500000US170312522021,"Block Group 1, Census Tract 2522.02",963,4,946,13,"[963, 4, 946, 13]"
1500000US170312522022,"Block Group 2, Census Tract 2522.02",978,4,963,11,"[978, 4, 963, 11]"
1500000US170312522023,"Block Group 3, Census Tract 2522.02",966,18,944,4,"[966, 18, 944, 4]"
1500000US170312522024,"Block Group 4, Census Tract 2522.02",568,2,563,3,"[568, 2, 563, 3]"
1500000US170312522025,"Block Group 5, Census Tract 2522.02",1120,7,1083,30,"[1120, 7, 1083, 30]"
1500000US170312601001,"Block Group 1, Census Tract 2601",1240,19,1172,49,"[1240, 19, 1172, 49]"
1500000US170312602001,"Block Group 1, Census Tract 2602",1136,25,1085,26,"[1136, 25, 1085, 26]"
1500000US170312603001,"Block Group 1, Census Tract 2603",1558,12,1509,37,"[1558, 12, 1509, 37]"
1500000US170312604001,"Block Group 1, Census Tract 2604",1262,9,1202,51,"[1262, 9, 1202, 51]"
1500000US170312605001,"Block Group 1, Census Tract 2605",1928,13,1903,12,"[1928, 13, 1903, 12]"
1500000US170312606001,"Block Group 1, Census Tract 2606",1108,31,1068,9,"[1108, 31, 1068, 9]"
1500000US170312606002,"Block Group 2, Census Tract 2606",1369,14,1326,29,"[1369, 14, 1326, 29]"
1500000US170312607001,"Block Group 1, Census Tract 2607",742,14,722,6,"[742, 14, 722, 6]"
1500000US170312607002,"Block Group 2, Census Tract 2607",1279,10,1254,15,"[1279, 10, 1254, 15]"
1500000US170312608001,"Block Group 1, Census Tract 2608",1260,25,1217,18,"[1260, 25, 1217, 18]"
1500000US170312608002,"Block Group 2, Census Tract 2608",1263,10,1211,42,"[1263, 10, 1211, 42]"
1500000US170312609001,"Block Group 1, Census Tract 2609",913,13,873,27,"[913, 13, 873, 27]"
1500000US170312609002,"Block Group 2, Census Tract 2609",566,1,564,1,"[566, 1, 564, 1]"
1500000US170312610001,"Block Group 1, Census Tract 2610",1014,1,1003,10,"[1014, 1, 1003, 10]"
1500000US170312610002,"Block Group 2, Census Tract 2610",1297,3,1278,16,"[1297, 3, 1278, 16]"
1500000US170312705001,"Block Group 1, Census Tract 2705",1683,14,1628,41,"[1683, 14, 1628, 41]"
1500000US170312712001,"Block Group 1, Census Tract 2712",1163,40,1092,31,"[1163, 40, 1092, 31]"
1500000US170312713001,"Block Group 1, Census Tract 2713",1040,11,1007,22,"[1040, 11, 1007, 22]"
1500000US170312714001,"Block Group 1, Census Tract 2714",1515,42,1446,27,"[1515, 42, 1446, 27]"
1500000US170312715001,"Block Group 1, Census Tract 2715",1393,19,1346,28,"[1393, 19, 1346, 28]"
1500000US170312718001,"Block Group 1, Census Tract 2718",970,16,937,17,"[970, 16, 937, 17]"
1500000US170312801001,"Block Group 1, Census Tract 2801",3125,2746,171,208,"[3125, 2746, 171, 208]"
1500000US170312801002,"Block Group 2, Census Tract 2801",990,895,48,47,"[990, 895, 48, 47]"
1500000US170312804001,"Block Group 1, Census Tract 2804",1331,111,1153,67,"[1331, 111, 1153, 67]"
1500000US170312808001,"Block Group 1, Census Tract 2808",753,23,704,26,"[753, 23, 704, 26]"
1500000US170312809001,"Block Group 1, Census Tract 2809",916,43,841,32,"[916, 43, 841, 32]"
1500000US170312819001,"Block Group 1, Census Tract 2819",1142,973,112,57,"[1142, 973, 112, 57]"
1500000US170312819002,"Block Group 2, Census Tract 2819",872,615,146,111,"[872, 615, 146, 111]"
1500000US170312819003,"Block Group 3, Census Tract 2819",1287,1037,131,119,"[1287, 1037, 131, 119]"
1500000US170312827001,"Block Group 1, Census Tract 2827",978,183,413,382,"[978, 183, 413, 382]"
1500000US170312827002,"Block Group 2, Census Tract 2827",1166,292,640,234,"[1166, 292, 640, 234]"
1500000US170312828001,"Block Group 1, Census Tract 2828",1483,572,312,599,"[1483, 572, 312, 599]"
1500000US170312831001,"Block Group 1, Census Tract 2831",1085,216,796,73,"[1085, 216, 796, 73]"
1500000US170312831002,"Block Group 2, Census Tract 2831",924,698,123,103,"[924, 698, 123, 103]"
1500000US170312832001,"Block Group 1, Census Tract 2832",1449,711,608,130,"[1449, 711, 608, 130]"
1500000US170312838001,"Block Group 1, Census Tract 2838",709,170,473,66,"[709, 170, 473, 66]"
1500000US170312838002,"Block Group 2, Census Tract 2838",2609,949,1376,284,"[2609, 949, 1376, 284]"
1500000US170312909001,"Block Group 1, Census Tract 2909",1071,23,1038,10,"[1071, 23, 1038, 10]"
1500000US170312909002,"Block Group 2, Census Tract 2909",1002,17,933,52,"[1002, 17, 933, 52]"
1500000US170312909003,"Block Group 3, Census Tract 2909",1164,9,1127,28,"[1164, 9, 1127, 28]"
1500000US170312909004,"Block Group 4, Census Tract 2909",1279,10,1232,37,"[1279, 10, 1232, 37]"
1500000US170312912001,"Block Group 1, Census Tract 2912",1163,1,1143,19,"[1163, 1, 1143, 19]"
1500000US170312912002,"Block Group 2, Census Tract 2912",1073,5,1047,21,"[1073, 5, 1047, 21]"
1500000US170312916001,"Block Group 1, Census Tract 2916",1033,68,228,737,"[1033, 68, 228, 737]"
1500000US170312922001,"Block Group 1, Census Tract 2922",861,14,799,48,"[861, 14, 799, 48]"
1500000US170312922002,"Block Group 2, Census Tract 2922",1282,26,1241,15,"[1282, 26, 1241, 15]"
1500000US170312922003,"Block Group 3, Census Tract 2922",798,28,746,24,"[798, 28, 746, 24]"
1500000US170312924001,"Block Group 1, Census Tract 2924",1003,5,983,15,"[1003, 5, 983, 15]"
1500000US170312924002,"Block Group 2, Census Tract 2924",1261,20,1205,36,"[1261, 20, 1205, 36]"
1500000US170312925001,"Block Group 1, Census Tract 2925",1325,11,1281,33,"[1325, 11, 1281, 33]"
1500000US170312925002,"Block Group 2, Census Tract 2925",1309,14,1259,36,"[1309, 14, 1259, 36]"
1500000US170312925003,"Block Group 3, Census Tract 2925",977,8,958,11,"[977, 8, 958, 11]"
1500000US170312925004,"Block Group 4, Census Tract 2925",508,5,483,20,"[508, 5, 483, 20]"
1500000US170313005001,"Block Group 1, Census Tract 3005",808,26,336,446,"[808, 26, 336, 446]"
1500000US170313005002,"Block Group 2, Census Tract 3005",2435,51,15,2369,"[2435, 51, 15, 2369]"
1500000US170313006001,"Block Group 1, Census Tract 3006",1383,65,575,743,"[1383, 65, 575, 743]"
1500000US170313006002,"Block Group 2, Census Tract 3006",1811,56,13,1742,"[1811, 56, 13, 1742]"
1500000US170313007001,"Block Group 1, Census Tract 3007",2343,56,138,2149,"[2343, 56, 138, 2149]"
1500000US170313007002,"Block Group 2, Census Tract 3007",1332,31,5,1296,"[1332, 31, 5, 1296]"
1500000US170313007003,"Block Group 3, Census Tract 3007",1502,9,8,1485,"[1502, 9, 8, 1485]"
1500000US170313008001,"Block Group 1, Census Tract 3008",2171,24,92,2055,"[2171, 24, 92, 2055]"
1500000US170313008002,"Block Group 2, Census Tract 3008",2409,38,10,2361,"[2409, 38, 10, 2361]"
1500000US170313009001,"Block Group 1, Census Tract 3009",1971,30,30,1911,"[1971, 30, 30, 1911]"
1500000US170313009002,"Block Group 2, Census Tract 3009",1997,37,21,1939,"[1997, 37, 21, 1939]"
1500000US170313009003,"Block Group 3, Census Tract 3009",1073,15,32,1026,"[1073, 15, 32, 1026]"
1500000US170313011001,"Block Group 1, Census Tract 3011",1260,92,48,1120,"[1260, 92, 48, 1120]"
1500000US170313011002,"Block Group 2, Census Tract 3011",1352,31,72,1249,"[1352, 31, 72, 1249]"
1500000US170313012001,"Block Group 1, Census Tract 3012",1344,53,38,1253,"[1344, 53, 38, 1253]"
1500000US170313012002,"Block Group 2, Census Tract 3012",669,18,149,502,"[669, 18, 149, 502]"
1500000US170313012003,"Block Group 3, Census Tract 3012",1979,58,34,1887,"[1979, 58, 34, 1887]"
1500000US170313016001,"Block Group 1, Census Tract 3016",2141,33,2,2106,"[2141, 33, 2, 2106]"
1500000US170313016002,"Block Group 2, Census Tract 3016",2502,42,9,2451,"[2502, 42, 9, 2451]"
1500000US170313017011,"Block Group 1, Census Tract 3017.01",1373,9,8,1356,"[1373, 9, 8, 1356]"
1500000US170313017012,"Block Group 2, Census Tract 3017.01",1406,12,4,1390,"[1406, 12, 4, 1390]"
1500000US170313017013,"Block Group 3, Census Tract 3017.01",1589,10,2,1577,"[1589, 10, 2, 1577]"
1500000US170313017021,"Block Group 1, Census Tract 3017.02",1220,23,0,1197,"[1220, 23, 0, 1197]"
1500000US170313017022,"Block Group 2, Census Tract 3017.02",1524,33,0,1491,"[1524, 33, 0, 1491]"
1500000US170313017023,"Block Group 3, Census Tract 3017.02",1291,39,4,1248,"[1291, 39, 4, 1248]"
1500000US170313018011,"Block Group 1, Census Tract 3018.01",1245,28,0,1217,"[1245, 28, 0, 1217]"
1500000US170313018012,"Block Group 2, Census Tract 3018.01",2753,60,23,2670,"[2753, 60, 23, 2670]"
1500000US170313018021,"Block Group 1, Census Tract 3018.02",809,13,8,788,"[809, 13, 8, 788]"
1500000US170313018022,"Block Group 2, Census Tract 3018.02",1369,19,44,1306,"[1369, 19, 44, 1306]"
1500000US170313018023,"Block Group 3, Census Tract 3018.02",1334,25,0,1309,"[1334, 25, 0, 1309]"
1500000US170313018031,"Block Group 1, Census Tract 3018.03",1746,27,4,1715,"[1746, 27, 4, 1715]"
1500000US170313018032,"Block Group 2, Census Tract 3018.03",2533,40,4,2489,"[2533, 40, 4, 2489]"
1500000US170313018033,"Block Group 3, Census Tract 3018.03",1068,30,6,1032,"[1068, 30, 6, 1032]"
1500000US170313102001,"Block Group 1, Census Tract 3102",657,170,38,449,"[657, 170, 38, 449]"
1500000US170313102002,"Block Group 2, Census Tract 3102",630,245,40,345,"[630, 245, 40, 345]"
1500000US170313103001,"Block Group 1, Census Tract 3103",1647,433,67,1147,"[1647, 433, 67, 1147]"
1500000US170313104001,"Block Group 1, Census Tract 3104",1293,237,65,991,"[1293, 237, 65, 991]"
1500000US170313105001,"Block Group 1, Census Tract 3105",1690,155,37,1498,"[1690, 155, 37, 1498]"
1500000US170313106001,"Block Group 1, Census Tract 3106",2108,334,207,1567,"[2108, 334, 207, 1567]"
1500000US170313106002,"Block Group 2, Census Tract 3106",1707,259,50,1398,"[1707, 259, 50, 1398]"
1500000US170313106003,"Block Group 3, Census Tract 3106",1938,228,85,1625,"[1938, 228, 85, 1625]"
1500000US170313107001,"Block Group 1, Census Tract 3107",1671,216,20,1435,"[1671, 216, 20, 1435]"
1500000US170313108001,"Block Group 1, Census Tract 3108",1028,138,26,864,"[1028, 138, 26, 864]"
1500000US170313108002,"Block Group 2, Census Tract 3108",1101,111,33,957,"[1101, 111, 33, 957]"
1500000US170313108003,"Block Group 3, Census Tract 3108",2344,169,18,2157,"[2344, 169, 18, 2157]"
1500000US170313109001,"Block Group 1, Census Tract 3109",1721,207,33,1481,"[1721, 207, 33, 1481]"
1500000US170313109002,"Block Group 2, Census Tract 3109",1531,141,30,1360,"[1531, 141, 30, 1360]"
1500000US170313109003,"Block Group 3, Census Tract 3109",1814,170,17,1627,"[1814, 170, 17, 1627]"
1500000US170313201001,"Block Group 1, Census Tract 3201",2565,2170,239,156,"[2565, 2170, 239, 156]"
1500000US170313201002,"Block Group 2, Census Tract 3201",1682,1359,135,188,"[1682, 1359, 135, 188]"
1500000US170313201003,"Block Group 3, Census Tract 3201",1097,889,86,122,"[1097, 889, 86, 122]"
1500000US170313201004,"Block Group 4, Census Tract 3201",3330,2758,311,261,"[3330, 2758, 311, 261]"
1500000US170313204001,"Block Group 1, Census Tract 3204",2355,1707,446,202,"[2355, 1707, 446, 202]"
1500000US170313206001,"Block Group 1, Census Tract 3206",1469,1094,265,110,"[1469, 1094, 265, 110]"
1500000US170313206002,"Block Group 2, Census Tract 3206",2053,1477,434,142,"[2053, 1477, 434, 142]"
1500000US170313301001,"Block Group 1, Census Tract 3301",2810,1984,594,232,"[2810, 1984, 594, 232]"
1500000US170313301002,"Block Group 2, Census Tract 3301",3665,2545,827,293,"[3665, 2545, 827, 293]"
1500000US170313301003,"Block Group 3, Census Tract 3301",4844,3172,1364,308,"[4844, 3172, 1364, 308]"
1500000US170313301004,"Block Group 4, Census Tract 3301",2888,1100,1606,182,"[2888, 1100, 1606, 182]"
1500000US170313302001,"Block Group 1, Census Tract 3302",819,25,784,10,"[819, 25, 784, 10]"
1500000US170313302002,"Block Group 2, Census Tract 3302",2222,1608,476,138,"[2222, 1608, 476, 138]"
1500000US170313403001,"Block Group 1, Census Tract 3403",451,346,19,86,"[451, 346, 19, 86]"
1500000US170313404001,"Block Group 1, Census Tract 3404",431,305,33,93,"[431, 305, 33, 93]"
1500000US170313405001,"Block Group 1, Census Tract 3405",1058,699,213,146,"[1058, 699, 213, 146]"
