"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",
"1500000US170316709001","Block Group 1, Census Tract 6709, Cook County, Illinois","105","50","0","11","0","11","0","11","0","11","5","8","0","11","0","11","10","10","0","11","0","11","10","12","18","20","10","14","21","15","31","46","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316709002","Block Group 2, Census Tract 6709, Cook County, Illinois","150","46","21","21","0","11","6","9","0","11","0","11","6","9","0","11","14","24","0","11","21","28","11","12","27","28","5","7","19","17","0","11","0","11","5","7","15","23","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316711001","Block Group 1, Census Tract 6711, Cook County, Illinois","161","51","0","11","14","14","0","11","0","11","0","11","5","8","0","11","11","17","16","18","9","15","4","6","0","11","5","7","43","28","11","17","10","16","4","6","29","44","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316712001","Block Group 1, Census Tract 6712, Cook County, Illinois","37","25","0","11","0","11","0","11","8","13","0","11","0","11","7","10","0","11","4","7","0","11","0","11","5","9","0","11","13","15","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316712002","Block Group 2, Census Tract 6712, Cook County, Illinois","98","54","0","11","0","11","0","11","0","11","0","11","0","11","0","11","10","15","5","9","24","28","20","24","0","11","0","11","35","34","0","11","4","6","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316713001","Block Group 1, Census Tract 6713, Cook County, Illinois","213","57","0","11","11","13","0","11","0","11","0","11","19","28","0","11","24","22","14","18","0","11","32","32","29","26","39","31","0","11","4","7","16","18","11","17","4","10","0","11","10","12","0","11","0","11","0","11","0","11",
"1500000US170316713002","Block Group 2, Census Tract 6713, Cook County, Illinois","69","34","7","11","0","11","0","11","0","11","0","11","6","9","0","11","0","11","0","11","0","11","11","15","15","15","30","29","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316713003","Block Group 3, Census Tract 6713, Cook County, Illinois","69","43","0","11","0","11","3","5","0","11","0","11","0","11","0","11","0","11","0","11","57","42","4","7","0","11","0","11","5","7","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316714001","Block Group 1, Census Tract 6714, Cook County, Illinois","172","43","0","11","0","11","0","11","18","19","0","11","25","24","9","13","10","16","0","11","18","20","8","12","20","19","0","11","33","17","22","18","4","8","0","11","5","8","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170316714002","Block Group 2, Census Tract 6714, Cook County, Illinois","140","50","0","11","5","8","5","8","0","11","0","11","6","9","0","11","5","9","14","15","16","18","20","26","6","11","17","19","29","25","0","11","0","11","17","24","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
